"V1","V2","V3","V4","V5","V6","V7"
-0.36732,-0.41119,-0.13129,-0.034642,0.034619,0.10618,-0.085695
-0.17607,0.15339,-0.16051,0.085795,-0.036574,-0.1594,0.055256
3.0416,0.67006,0.19885,0.23553,-0.039433,0.1606,-0.048397
-0.34903,-0.049246,-0.24536,0.2045,-0.044427,-0.12805,0.22124
1.5717,-0.31429,-0.23214,0.30142,0.011592,-0.044749,0.26359
0.5976,0.3657,0.26069,0.22834,0.037563,-0.016633,0.35329
-0.81235,0.092629,0.23303,-0.048329,-0.026208,0.41014,-0.0010655
1.3235,0.44595,0.28681,-0.069933,-0.045741,0.16327,-0.35069
0.77526,-0.18239,-0.26795,0.13783,0.0048923,-0.4088,0.23777
-0.14682,0.058778,0.01692,-0.17613,-0.049359,-0.0040564,-0.30416
-0.7957,-0.037277,-0.1216,0.077476,-0.0082148,-0.085313,0.37803
1.9082,0.32483,-0.071754,-0.081925,-0.021446,-0.090799,-0.038731
1.6871,0.24991,0.23209,0.063436,0.072101,-0.030869,-0.039638
-0.052149,-0.29417,-0.11362,-0.047685,0.034052,-0.27092,0.23898
-0.41429,0.44934,0.12281,0.057515,0.030829,-0.17557,0.25334
0.68386,0.28435,0.025884,0.12535,-0.013018,-0.0070562,0.024446
0.74575,0.68305,0.22963,-0.21711,-0.062888,-0.02105,-0.29098
-0.2626,-0.20179,-0.043707,0.2989,0.050995,-0.12575,0.50463
-0.34444,-0.42425,-0.066588,-0.072786,0.024637,0.12811,-0.35292
1.3705,-0.27759,-0.12373,-0.058492,0.084465,-0.023307,0.16214
1.1416,-0.14839,-0.12778,0.22926,0.022126,0.010011,-0.10441
-0.73899,-0.78394,-0.44806,0.047759,0.0049915,-0.10507,0.124
1.8128,0.3792,0.17815,0.072424,-0.021326,0.15229,0.021067
-1.4422,-0.57548,-0.14582,-0.12477,0.056302,0.12163,-0.49296
-0.07381,-0.025516,0.094078,0.064505,-0.019373,0.16934,-0.25944
-1.2287,0.47004,0.17846,0.27643,-0.014495,-0.17982,0.13855
0.46796,0.17833,0.018524,0.12487,-0.033119,-0.10551,0.27482
-0.3023,0.013992,-0.046958,-0.053374,-0.014405,0.016331,-0.048502
0.82174,0.65103,0.22211,-0.16408,-0.098702,-0.021038,0.064273
-0.22254,-0.56273,-0.11201,-0.023536,0.034052,0.17723,-0.053012
-0.19231,0.0066207,-0.0029753,0.20903,-0.011128,0.082718,0.16803
1.1109,-0.13761,-0.11504,-0.0010661,0.03709,0.025593,-0.013656
-0.40563,0.36729,-0.13761,0.23973,0.025117,-0.080664,-0.082731
-1.2081,-0.64527,-0.3573,0.23727,0.076251,-0.0092438,0.19068
2.3159,0.44602,0.26727,0.0833,-0.012543,0.18481,0.21835
-1.0543,0.05976,0.014737,-0.10357,0.014916,-0.24328,0.024537
0.13831,0.07941,-0.0062868,0.26552,-0.0013899,0.077352,0.31506
-2.4785,-0.13509,-0.038737,-0.18679,-0.045656,0.0066295,-0.12851
-0.45942,-0.31278,-0.048978,0.097961,0.074616,-0.24586,-0.083793
1.5408,-0.059548,-0.085374,-0.16167,-0.052768,0.14649,-0.22833
-2.5411,-0.31325,-0.10763,-0.22613,-0.051799,0.27014,-0.39291
-0.22648,-0.57403,-0.19779,0.057895,0.036567,-0.10312,-0.17691
1.1338,0.21886,0.03372,0.045491,-0.028747,0.00030973,0.042272
-0.80275,-0.35993,0.00092164,0.12803,0.060005,0.10821,0.1339
-0.30974,-0.039752,0.064437,0.26262,0.10747,-0.43078,0.53242
-0.19949,0.27655,0.24195,-0.16278,-0.047033,0.027624,0.084127
1.1614,0.23736,-0.2161,0.25801,-0.049313,-0.035167,0.35499
-0.86668,-0.29817,-0.23134,0.22932,0.049813,-0.081327,0.30768
1.023,0.66308,0.30952,0.20736,-0.053418,0.026159,0.16665
-0.26086,-0.56857,-0.1859,-0.038183,0.026697,-0.2004,0.45792
-0.1609,0.15067,0.037376,0.0042982,-0.028897,0.22629,-0.45782
1.269,0.26382,0.18179,-0.29228,-0.05523,0.47049,-0.50277
-1.4122,-0.47631,-0.089551,-0.065751,0.00075406,0.22169,-0.10681
0.86899,-0.26477,-0.02715,-0.019274,-0.035595,-0.046464,0.12846
-0.15951,-0.76933,-0.47465,-0.053696,0.021114,-0.039703,-0.1519
-0.16308,-0.37399,0.0087863,-0.27234,-0.030079,0.22973,-0.33827
-0.34457,-0.45499,-0.16533,0.10764,0.025389,0.053211,-0.066378
0.2732,0.23841,0.030308,0.17649,0.0074853,0.097036,-0.21457
1.7184,0.40401,0.24776,0.059676,0.016676,0.090897,0.17969
-2.0526,-0.59348,-0.29564,-0.023913,3.9628e-05,0.11858,-0.0084283
0.57849,0.35699,0.077603,0.15918,0.017611,-0.15201,0.26576
-1.121,-0.2363,-0.025285,-0.1077,0.0080012,0.048567,-0.1643
-0.088979,-0.10652,-0.046568,0.055529,0.029099,0.13981,-0.10559
1.2852,0.052363,0.17666,0.1728,0.031721,-0.21909,0.3261
-1.6212,-0.62881,-0.053616,0.052447,0.099918,-0.38016,0.18794
-0.73882,0.02297,-0.026946,0.079046,-0.013711,0.1003,-0.033722
-0.53688,0.43926,0.20697,-0.21136,-0.015814,0.10418,-0.35607
-1.1075,-0.31159,-0.21865,0.086416,0.060769,-0.13442,-0.079114
1.281,0.34763,0.10872,0.087633,-0.064832,0.22613,-0.22647
1.5862,-0.41573,-0.02604,0.21525,0.0055083,0.073703,0.54139
3.1726,0.72606,0.36149,0.13461,-0.035809,0.12345,-0.0062445
0.048765,-0.89095,-0.44258,0.090326,0.070703,-0.1082,-0.016181
-0.44599,0.35215,0.28301,-0.13831,-0.031802,0.19367,-0.38622
-0.61177,-0.12551,-0.12385,0.12935,0.015544,0.14794,0.12766
2.418,0.69822,0.062861,0.23693,0.011034,-0.14965,0.43458
-1.6563,0.3991,0.15624,-0.067675,-0.049669,0.19823,-0.42397
0.83284,0.34409,0.13881,-0.16944,-0.02185,0.24243,-0.22036
0.74114,-0.10204,-0.05589,0.22973,0.015484,-0.15571,0.43118
-0.3917,0.16884,-0.05215,-0.19045,-0.026215,0.009167,-0.49129
1.1926,0.50999,0.33192,-0.14009,-0.074697,0.16509,-0.22411
-0.89282,-0.013324,-0.26167,0.1366,-0.019596,-0.16682,0.34991
0.44834,0.53614,0.28157,0.062997,-0.036236,0.25072,-0.13622
1.4365,-0.15948,0.018501,-0.019692,-0.0085556,0.29849,-0.080786
0.57699,0.24712,7.582e-06,0.15414,0.0027539,0.044372,-0.059021
0.29837,0.30557,0.17077,0.20659,0.00012821,0.054114,0.5693
-0.046841,0.48162,0.14653,0.11626,-0.014578,0.014705,-0.048421
0.73302,0.075867,0.011699,0.13073,0.0054605,0.082521,0.23025
-0.92356,0.18836,-0.056385,-0.026687,-0.039633,-0.053154,0.058214
1.1313,0.37441,0.19174,-0.15058,-0.024662,-0.13449,-0.10958
-0.4941,0.88652,0.36108,0.042146,-0.051691,0.1068,-0.024219
-0.53769,0.065766,0.013695,-0.0084855,-0.034185,-0.05275,0.17659
1.8136,0.15552,-0.011896,-0.10765,0.0077939,-0.070586,0.022681
1.3261,0.42009,0.25496,0.019206,-0.017687,0.2051,0.1406
-0.117,0.20717,-0.00048715,0.16894,0.065413,-0.21441,0.21816
0.66909,0.1041,-0.0022446,0.17005,-0.014458,0.11351,0.12856
1.1532,0.32249,-0.011072,0.042489,-0.053019,-0.14014,0.13237
-1.5768,-0.25904,-0.16075,0.027939,0.006387,-0.15441,0.076642
-1.2653,0.18118,-0.026523,-0.29296,-0.045378,-0.025336,-0.49459
-0.21208,0.36436,0.13789,-0.0050241,-0.040348,-0.055023,0.011086
-0.21383,-0.60466,-0.31414,-0.014499,-0.0077286,-0.037377,-0.14311
-2.9056,-0.63318,-0.29382,-0.014962,0.070544,-0.23347,0.086877
-0.3959,-0.42814,-0.082255,0.039182,0.073001,-0.24919,0.12186
0.96989,-0.2451,-0.0021247,-0.13368,-0.0048913,0.2483,-0.053871
-0.28741,0.038183,-0.15539,0.024205,0.047005,-0.4794,0.1155
-0.64333,0.064951,0.16215,-0.14886,0.014958,0.19262,-0.14539
-1.3457,-0.22748,0.044098,-0.074292,-0.050042,0.17788,-0.32183
0.45076,0.016983,-0.090677,0.036977,0.016674,-0.0196,0.29489
-0.57683,-0.055657,-0.095423,0.23027,0.060486,-0.13908,0.2034
0.61275,0.35094,0.14512,0.021442,-0.0082398,-0.16511,0.074943
-0.23447,-0.46922,-0.23615,-0.032695,6.2297e-05,-0.13821,-0.134
-2.6774,-0.6861,-0.49612,0.25803,0.091861,-0.095162,-0.30658
-3.0495,-0.41468,-0.14121,-0.18973,0.020863,0.047915,-0.48618
-1.0455,-0.56476,-0.28398,-0.048447,0.025612,-0.090074,-0.37013
-0.51157,-0.1099,-0.24372,0.038087,-0.019755,-0.036241,-0.28686
1.2474,0.74219,0.29245,-0.032729,-0.028668,0.060912,0.20243
1.649,0.67264,0.29322,-0.045214,-0.060643,0.16231,-0.16706
-0.32113,-0.27174,-0.049255,0.099204,0.014663,-0.080339,0.052353
2.2264,-0.20725,-0.061104,0.10158,0.014702,-0.01528,0.27051
1.4996,-0.19752,-0.11199,0.14652,0.016876,0.07844,0.15827
2.8523,0.46379,0.11585,0.37777,0.025043,-0.12996,0.2565
-0.14723,0.28187,-0.20906,0.065555,-0.028041,-0.17717,-0.38895
-0.13868,-0.28671,-0.051299,0.17988,0.1106,-0.1887,0.31451
-2.4366,-0.79731,-0.39325,0.13121,0.0069188,-0.25043,0.089063
0.42379,-0.11328,0.045241,-0.20276,-0.014987,0.24328,-0.38367
0.35107,-0.28672,-0.074047,-0.072992,0.040683,-0.012068,0.51682
-1.8434,-0.35261,-0.23652,0.0081742,-0.016598,-0.2055,-0.093302
1.3309,0.29316,0.18563,0.036045,-0.01126,-0.0076359,0.33923
0.2985,-0.60732,-0.27873,0.15345,0.036303,-0.052196,0.16243
1.1512,-0.057171,-0.0068457,-0.098626,0.0695,-0.27383,0.21461
-0.27873,-0.27749,-0.17328,0.18707,0.067726,-0.067994,0.16669
1.7063,0.32547,0.041716,0.21515,0.027832,-0.23503,0.39212
0.038062,-0.19181,-0.28972,-0.24623,0.072226,-0.26202,-0.51337
-0.80033,-0.21336,-0.31875,0.034364,0.016294,-0.11927,-0.0013406
-0.096711,-0.031477,0.010613,-0.23725,-0.043608,-0.051119,-0.19277
-0.8549,-0.35506,-0.088806,0.076733,0.018477,0.081994,0.23321
-0.75981,0.41572,0.18464,-0.075126,-0.026903,0.040855,-0.46672
1.4032,-0.069411,-0.068621,-0.0014269,0.039358,0.14505,0.070329
-0.95959,-0.09082,-0.052975,0.048055,0.025092,-0.11272,0.012853
0.78068,-0.24097,-0.024994,-0.13708,-0.0069997,0.19561,-0.23935
-1.0356,-0.11732,-0.018848,0.18023,-0.00028655,0.019952,0.21494
1.7219,0.41417,0.13385,0.077139,-0.097835,0.1709,0.072777
-1.0467,0.1421,0.19866,-0.23301,-0.059629,-0.0033762,-0.25465
1.4163,0.49039,0.17767,0.16393,0.01756,-0.0017666,-0.015942
1.6545,-0.29244,0.013367,-0.11629,-0.02885,0.23385,0.094228
-1.8803,-0.53341,-0.34542,0.03625,0.040012,0.085296,-0.34007
-0.48756,0.50281,0.42655,-0.14974,-0.056399,0.20997,-0.070812
0.46552,0.09011,0.042345,0.083865,-0.0085246,0.13093,-0.04765
-0.0091786,0.91886,0.23182,0.089123,-0.064258,0.097176,-0.19082
-0.72704,-0.061976,-0.0429,0.11614,0.033888,-0.070232,0.14987
-0.96298,0.21687,0.025769,-0.22429,-0.040699,0.17116,-0.37858
-0.87724,-0.43706,-0.13813,0.19128,0.0020319,-0.19468,0.66827
0.14062,0.41844,0.36524,0.035151,0.021708,0.063792,0.19849
0.64253,-0.28165,-0.003718,-0.079509,-0.026396,0.17568,-0.0093976
-0.73154,-0.24986,-0.07268,-0.45676,0.0035835,0.14864,-0.82545
-0.63913,0.23327,0.075863,0.025764,-0.056628,0.058037,-0.087577
-0.36312,-0.53638,-0.16065,0.01008,0.051155,0.25189,-0.1262
-0.94319,-0.083179,0.17572,-0.013488,-0.035186,0.17537,0.38145
0.39039,0.37793,0.21309,0.21865,-0.0056515,-0.15986,0.74768
-0.32992,0.20228,0.056415,-0.045503,0.017578,0.16204,-0.072833
1.0204,-0.22128,-0.19217,0.098724,0.0078411,-0.1058,0.23885
0.5606,0.25175,0.08088,-0.074325,-0.030302,-0.035866,0.094663
1.7647,0.74923,0.25363,-0.26164,-0.094312,0.3802,-0.19826
-0.4437,-0.17716,0.015924,-0.092051,0.0086637,0.12827,-0.024692
1.7139,0.16519,0.20888,0.14143,-0.0038529,-0.064171,0.34749
-0.1934,0.064338,0.019116,0.016284,0.03859,-0.086198,0.015616
1.5299,-0.41116,0.090336,0.12017,0.0066441,0.17204,0.12857
-1.0547,-0.25304,-0.18088,0.13564,-0.013795,-0.20556,0.3154
-0.24529,-0.358,-0.010998,-0.024243,0.015003,-0.0056681,-0.05154
0.26101,0.072226,0.20536,-0.045913,0.015301,0.11254,-0.091037
-0.19801,-0.095324,-0.021656,-0.0017147,0.060721,-0.31522,0.37565
0.54462,0.26236,0.20342,-0.1832,-0.022255,0.11193,-0.11406
-0.9004,0.068317,0.12222,-0.076145,0.030186,0.26709,-0.35799
0.30653,0.44317,0.1695,-0.04056,-0.021468,0.17174,0.10766
2.9347,0.45523,-0.061824,0.29436,-0.036681,-0.040595,0.28156
-0.27884,0.75726,0.10691,0.12887,-0.0044371,-0.264,0.16847
-1.6885,-0.4612,-0.38711,-0.1116,0.058512,-0.15584,-0.33042
-0.5129,0.34995,0.13842,0.010045,-0.083879,0.23306,-0.34443
-0.28264,0.60184,0.13024,0.25012,0.022352,0.014534,-0.068929
-1.3399,0.44796,0.11705,0.11877,-0.025094,0.02571,-0.042327
-1.8245,-0.66208,-0.2571,0.046177,-0.032195,-0.011291,0.203
-0.16767,0.45219,0.025427,-0.20706,-0.05586,0.074159,-0.39448
-0.1892,0.3147,-0.023486,-0.18037,-0.010717,-0.072892,-0.04346
-2.0383,0.041421,0.08728,-0.3356,-0.077108,-0.014891,-0.53416
0.47013,0.34059,0.16248,-0.053393,-0.00095266,-0.19488,0.064188
0.35906,0.12025,-0.032784,0.088978,0.041643,-0.35587,0.37238
-0.61805,0.64582,0.47343,-0.15202,-0.030712,0.11193,0.20281
0.43015,-0.18084,0.03867,-0.22101,-0.030926,0.060843,-0.17213
1.5782,-0.23911,-0.092432,0.12875,0.037152,-0.059108,0.52712
-0.219,-0.2819,-0.21016,0.18898,0.012061,-0.13891,0.39205
1.7077,0.10875,0.063221,0.082754,-0.0080411,0.055165,0.26937
1.5142,0.15269,0.14371,-0.054228,-0.058483,0.020626,0.086944
-0.23911,0.32402,0.13799,0.18526,-0.023409,0.20314,0.43535
0.93793,-0.13658,-0.14806,0.059859,0.017098,0.0038949,0.019642
-0.98993,0.079544,-0.073666,-0.0164,0.03098,-0.14046,-0.03558
-0.14856,0.17692,0.25294,-0.1236,-0.0038376,0.1799,-0.070853
-0.93982,-0.029947,-0.082972,0.090401,0.013763,-0.21937,0.083881
-0.37786,-0.14829,-0.062745,0.20783,0.036106,-0.11691,0.44335
1.3615,0.44657,0.10545,-0.11132,-0.035417,0.21344,-0.37125
-1.3967,-0.60341,-0.18282,-0.07707,0.06734,-0.09587,0.30333
1.1984,0.05425,-0.019162,0.022135,0.025176,-0.12485,-0.037204
-0.56342,0.086129,0.054897,-0.0051754,-0.027068,0.017481,0.14473
-0.02801,0.38115,0.15186,0.14325,0.01323,-0.14862,0.33704
1.5182,0.21242,0.15161,-0.22746,-0.048198,0.313,-0.43099
-0.41973,-0.2182,-0.0036955,0.16892,0.0052,0.10835,-0.048617
-0.30637,-0.14366,-0.12821,0.055726,-0.043171,0.0044299,-0.065616
0.59336,-0.49144,-0.27926,0.23065,0.046187,0.12256,0.044662
-1.1303,-0.10162,0.092395,-0.19654,-0.024233,-0.14006,-0.15403
1.3026,0.63558,0.15379,0.086654,-0.07639,0.074452,0.17253
-1.5924,-0.19327,-0.16525,0.052152,0.016238,-0.077726,-0.085216
-2.053,-0.27918,-0.18814,-0.064281,0.028354,-0.2043,-0.093087
-1.7569,-0.33658,-0.13706,-0.05635,0.0226,-0.010219,0.036905
-0.11526,0.10813,-0.047674,-0.10469,-0.038034,0.23923,-0.61377
-1.1001,-0.25455,-0.17503,0.11355,-0.011401,0.032962,-0.047228
-0.17228,0.23252,0.021349,0.12968,0.013144,-0.46329,0.087612
1.3997,0.32238,-0.043682,-0.089746,-0.034738,-0.018156,0.22415
3.0169,0.53456,0.10054,0.18052,-0.0085515,0.2343,0.05772
-0.19462,-0.22408,-0.045439,0.045988,0.045661,-0.093795,0.25727
-2.0488,-0.21887,-0.15737,-0.011496,0.0041185,-0.17293,-0.17794
-1.5467,-0.78824,-0.26085,-0.038881,0.0096761,-0.068809,0.31031
1.6529,0.42936,0.099156,-0.088422,-0.019085,0.020998,0.076163
1.6036,-0.02137,0.093625,-0.11226,-0.020156,0.085847,-0.076046
1.2492,0.25617,0.062853,-0.074085,-0.033152,0.067359,-0.15228
0.45006,-0.47736,-0.16099,0.093338,0.011265,-0.1672,0.061458
1.0372,0.0029236,-0.030231,-0.063902,0.011524,-0.065612,0.012573
-0.74302,0.38741,0.21274,-0.17889,-0.036769,0.074226,-0.36518
-0.16149,-0.86476,-0.30044,-0.061485,0.059195,-0.048067,0.001519
0.77268,0.028074,0.016319,-0.15565,-0.017238,-0.11385,-0.19362
0.42433,-0.56847,-0.30212,0.18738,0.085817,-0.26588,0.27722
-1.1117,-0.44993,-0.1679,0.094585,0.031906,-0.13121,0.051403
-0.66311,0.40944,0.32131,-0.18782,-0.032713,0.13568,-0.43969
0.72342,0.69404,0.18863,0.19176,-0.046264,0.016605,0.17926
0.077727,-0.37771,-0.23848,-0.049943,0.028969,0.14147,-0.44563
-1.0421,-0.44139,-0.16618,0.1525,0.088543,0.011943,0.15473
-2.1804,-0.76673,-0.17874,-0.092741,-0.05179,0.12485,-0.34267
0.98615,0.50774,0.20902,-0.092447,-0.069041,0.07499,-0.42566
-1.0329,-0.35385,-0.149,0.19023,0.02586,-0.031995,0.25247
-0.70808,-0.25514,-0.10808,0.16602,0.033105,-0.14198,0.39508
-1.1338,0.11729,-0.012418,0.13017,-0.0039527,-0.16862,0.41832
0.89716,-0.38943,-0.14758,0.16015,0.047219,-0.22091,0.33236
1.9289,0.49747,0.44712,0.041766,-0.0069814,0.184,0.20208
-0.82334,0.041971,-0.031234,-0.16619,0.037544,0.11104,-0.13247
-0.4338,-0.25783,-0.074665,0.20872,0.042511,-0.036657,0.41414
-1.2683,0.50953,0.11872,-0.016675,-0.046736,-0.066309,-0.0041196
2.7863,0.82253,0.32369,0.05958,-0.022486,0.023535,0.12178
0.61613,-0.12055,0.025556,0.098662,0.06924,-0.16427,0.43289
0.38724,0.050642,0.076004,0.19384,0.022796,-0.13563,0.16659
-0.65674,0.2252,0.13553,-0.082916,-0.0024682,-0.12195,-0.058678
-1.2807,-0.15297,-0.011971,0.040121,0.0023036,0.21998,-0.20466
-0.16035,0.057243,-0.19268,0.32137,-0.029583,-0.072786,0.39005
1.0306,0.087813,0.20569,-0.16317,-0.067061,0.25417,-0.52453
0.22055,-0.73994,-0.13721,-0.18574,0.01306,-0.086067,-0.15136
-1.036,-0.22476,-0.21302,0.080806,0.020414,-0.10833,-0.089306
0.72218,0.20448,0.10313,-0.14578,-0.050089,-0.09676,0.28609
-0.45968,0.047569,0.04099,-0.2222,0.0029591,0.18615,-0.26883
-0.54217,0.51423,0.28923,-0.24783,-0.0097509,-0.05002,-0.59994
-0.37381,-0.0034146,0.20396,-0.21899,-0.011074,-0.010278,-0.11595
-0.092062,0.52971,0.15996,0.20138,-0.019186,-0.022175,0.40906
-0.094399,0.056555,-0.017702,-0.046147,-0.0096785,0.010402,-0.1269
-0.24068,-0.51406,-0.27241,0.30349,0.07273,-0.22487,0.27653
-0.96135,-0.12556,-0.21959,0.21475,0.0042146,-0.13658,0.23758
0.6229,0.44616,0.21152,-0.15306,-0.01014,-0.0021033,-0.23135
0.37055,-0.14744,-0.18993,-0.0082077,-0.013267,0.050285,-0.44685
-1.9728,-0.12648,-0.1342,0.019495,0.024216,0.002559,-0.21968
-0.66649,0.16931,0.040184,-0.018074,0.037751,-0.14422,0.095986
-1.0409,0.040483,0.16019,-0.37049,-0.046419,0.19988,-0.84176
-0.43166,-0.5113,-0.10837,0.0046083,0.073083,-0.081024,0.038844
